metro,name,area_type,score,stability,civic,engagement,stability_blend_pct,tract_long_tenure_pct,same_house_pct_b07003,civic_nodes,civic_weighted,civic_radius_m,orgs_per_1k,participation_mix
NYC,Sunset Park,urban_core,58.3,64.5,70.9,39.4,88.2,85.57,94.96,72,66.5,600,0.291,full
LA,Santa Monica,urban_residential,58.3,39.4,95.0,40.4,79.3,74.69,83.38,20,27.0,600,3.814,full
NYC,Red Hook,suburban,58.2,11.3,85.0,78.4,63.4,54.05,44.09,19,22.0,1200,86.022,full
LA,Sunland-Tujunga,suburban,58.2,50.3,82.1,42.1,83.7,79.82,87.61,17,19.5,1200,0.448,full
NYC,Millburn,suburban,58.1,33.6,94.2,46.5,76.6,75.0,82.78,23,27.5,1200,1.373,full
LA,Little Tokyo,urban_residential,58.1,35.9,90.8,47.7,77.9,72.5,75.8,35,24.5,600,5.744,full
LA,Alhambra,urban_residential,57.9,46.1,87.9,39.7,82.0,78.77,95.01,28,22.75,600,1.282,full
LA,San Gabriel,urban_residential,57.9,51.9,82.0,39.8,84.2,76.53,91.59,15,20.0,600,1.717,full
NYC,Pelham,urban_residential,57.5,53.1,56.7,62.6,84.2,78.45,90.79,14,12.0,600,1.113,full
LA,Encino,suburban,57.5,49.6,82.7,40.3,83.4,78.0,92.93,16,20.0,1200,3.116,full
LA,Arts District,suburban,57.4,25.9,91.7,54.6,73.7,64.51,77.96,20,26.0,1200,27.17,full
NYC,Valley Stream,urban_residential,57.3,67.2,65.0,39.6,89.1,86.19,95.05,16,14.5,600,1.081,full
LA,El Segundo,urban_residential,57.3,40.1,86.7,45.0,79.6,76.17,84.35,18,22.0,600,2.208,full
NYC,Clinton Hill,urban_core,57.1,51.5,70.8,49.2,83.6,78.65,90.2,80,66.25,600,0.543,full
LA,Hyde Park,urban_residential,57.1,57.9,74.5,38.9,86.3,84.45,88.03,16,17.5,600,4.324,full
NYC,Floral Park,urban_residential,57.0,72.0,56.7,42.4,90.8,87.92,96.07,10,12.0,600,0.998,full
NYC,Bed-Stuy,urban_core,56.9,40.5,75.1,55.0,79.3,73.63,79.52,86,73.5,600,0.851,full
NYC,Manhattanville,suburban,56.5,8.4,85.8,75.2,46.5,,30.59,20,22.5,1200,117.647,full
LA,Lakewood,suburban,56.3,51.2,78.1,39.7,84.0,79.69,84.27,14,16.0,1200,1.194,full
NYC,Irvington,suburban,56.1,42.4,85.8,40.0,80.1,72.21,90.14,16,22.5,1200,2.124,full
NYC,New Canaan,exurban,56.1,36.9,88.0,43.4,78.3,72.9,94.32,12,14.0,3000,0,no_turn_60_40_bmf_vol
NYC,Long Beach,urban_residential,55.9,63.5,60.8,43.3,87.8,84.12,95.48,14,13.25,600,0.6,full
NYC,Prospect Heights,urban_core,55.9,28.4,81.4,58.0,74.4,64.87,79.47,108,84.0,600,0.563,full
NYC,Sunnyside,suburban,55.8,5.2,91.7,70.4,28.7,0.0,12.28,20,26.0,1200,87.719,full
LA,Elysian Valley,suburban,55.8,44.5,82.7,40.1,81.4,75.19,89.78,18,20.0,1200,2.624,full
NYC,Ossining,urban_residential,55.6,31.3,92.5,43.0,75.6,67.82,84.52,20,25.5,600,0.249,full
LA,Tarzana,suburban,55.6,36.6,87.5,42.6,78.2,70.03,87.64,20,23.5,1200,0.832,full
NYC,Pelham Manor,suburban,55.4,53.1,72.9,40.3,84.2,78.91,90.94,11,11.5,1200,3.168,full
LA,Crenshaw,suburban,55.2,42.0,87.5,36.0,80.4,72.82,90.3,20,23.5,1200,8.434,full
LA,Thousand Oaks,suburban,55.2,37.8,88.3,39.6,78.7,69.03,90.38,20,24.0,1200,0.84,full
LA,Granada Hills,suburban,55.0,42.2,82.1,40.8,80.4,72.94,92.01,16,19.5,1200,0.882,full
NYC,Howard Beach,suburban,54.8,51.1,66.7,46.6,83.5,,,7,8.5,1200,0,vol_only
NYC,Woodside,urban_core,54.5,59.7,60.9,43.0,86.5,82.29,96.04,69,57.25,600,0.284,full
LA,Compton,urban_residential,54.3,68.1,55.0,39.7,89.9,85.92,92.61,10,11.5,600,1.374,full
LA,Porter Ranch,suburban,54.3,69.8,53.3,39.9,90.5,89.54,97.41,6,6.5,1200,1.947,full
NYC,Great Kills,urban_residential,54.0,75.2,45.0,41.8,91.8,91.17,98.71,12,9.5,600,0.524,full
LA,Pico-Robertson,urban_residential,54.0,57.0,54.2,50.9,86.0,82.82,92.38,11,11.25,600,2.267,full
NYC,West Village,urban_core,53.4,40.6,76.3,43.1,79.4,72.35,84.92,110,75.5,600,1.232,full
LA,Reseda,urban_residential,53.4,37.3,83.5,39.5,78.5,69.7,91.1,20,20.5,600,0.542,full
LA,Beverly Hills,suburban,53.2,24.0,95.8,39.8,72.9,68.91,88.81,20,28.5,1200,1.555,full
LA,Long Beach,suburban,53.2,19.5,100.0,40.2,70.9,59.31,78.26,79,69.5,1200,2.91,full
NYC,Stapleton,urban_core,53.1,53.7,62.5,43.2,84.4,80.07,90.09,20,21.5,600,0.56,no_turn_60_40_bmf_vol
NYC,Dobbs Ferry,suburban,52.9,19.8,83.8,54.9,70.6,65.25,75.64,17,21.0,1200,1.407,full
NYC,Morristown,suburban,52.7,11.9,100.0,46.2,66.4,55.23,78.63,56,57.75,1200,0.223,full
NYC,Lower East Side,urban_core,52.5,77.3,35.8,44.3,92.6,93.26,95.48,20,24.5,600,1.264,full
