Year,County,NCICCode,Violent_sum,Homicide_sum,ForRape_sum,Robbery_sum,AggAssault_sum,Property_sum,Burglary_sum,VehicleTheft_sum,LTtotal_sum,ViolentClr_sum,HomicideClr_sum,ForRapeClr_sum,RobberyClr_sum,AggAssaultClr_sum,PropertyClr_sum,BurglaryClr_sum,VehicleTheftClr_sum,LTtotalClr_sum,TotalStructural_sum,TotalMobile_sum,TotalOther_sum,GrandTotal_sum,GrandTotClr_sum,RAPact_sum,ARAPact_sum,FROBact_sum,KROBact_sum,OROBact_sum,SROBact_sum,HROBnao_sum,CHROBnao_sum,GROBnao_sum,CROBnao_sum,RROBnao_sum,BROBnao_sum,MROBnao_sum,FASSact_sum,KASSact_sum,OASSact_sum,HASSact_sum,FEBURact_Sum,UBURact_sum,RESDBUR_sum,RNBURnao_sum,RDBURnao_sum,RUBURnao_sum,NRESBUR_sum,NNBURnao_sum,NDBURnao_sum,NUBURnao_sum,MVTact_sum,TMVTact_sum,OMVTact_sum,PPLARnao_sum,PSLARnao_sum,SLLARnao_sum,MVLARnao_sum,MVPLARnao_sum,BILARnao_sum,FBLARnao_sum,COMLARnao_sum,AOLARnao_sum,LT400nao_sum,LT200400nao_sum,LT200nao_sum,LT50200nao_sum,LT50nao_sum
1985,Alameda County,Union City,231,5,21,86,119,2582,902,158,1522,128,3,12,20,93,487,175,52,260,21,6,19,46,11,6,15,41,5,3,37,37,9,10,17,7,2,4,13,35,51,20,621,281,739,155,294,290,163,48,33,82,117,17,24,16,16,222,341,355,179,170,3,220,308,206,,407,601
1985,Alpine County,Alpine Co. Sheriff's Department,8,0,0,0,8,287,27,5,255,4,0,0,0,4,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,13,14,12,0,2,10,15,11,1,3,2,0,3,0,0,0,56,7,1,40,21,130,64,109,,53,29
1985,Alpine County,CA Highway Patrol - Alpine,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0
1985,Amador County,Amador Co. Sheriff's Department,67,3,1,4,59,299,149,2,148,58,3,0,3,52,47,23,1,23,0,0,0,0,0,1,0,2,0,0,2,2,0,0,0,2,0,0,4,1,8,46,105,44,104,16,20,68,45,27,4,14,1,1,0,0,0,3,25,8,0,36,6,70,65,22,,31,30
1985,Amador County,CA Highway Patrol - Amador,0,0,0,0,0,14,0,14,0,0,0,0,0,0,9,0,9,0, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0
1985,Amador County,Ione,12,0,0,0,12,52,14,5,33,10,0,0,0,10,9,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,8,6,6,0,0,6,8,6,2,0,3,0,2,0,0,7,4,8,0,3,0,11,7,3,,12,11
1985,Amador County,Jackson,0,0,0,0,0,136,29,3,104,0,0,0,0,0,41,4,3,34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,7,1,4,2,22,15,2,5,2,1,0,0,1,7,6,9,0,31,0,50,20,13,,33,38
1985,Amador County,Plymouth,0,0,0,0,0,14,3,0,11,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,1,0,3,1,3,2,2,,2,5
1985,Amador County,Sutter Creek,0,0,0,0,0,60,6,4,50,0,0,0,0,0,9,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,1,4,1,1,2,3,1,0,1,0,11,15,7,2,7,2,5,4,8,,14,24
1985,Amador County,Union Pacific RR - Amador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
1985,Butte County,Biggs,4,0,0,0,4,82,25,5,52,2,0,0,0,2,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,15,10,14,1,2,11,11,3,0,8,0,0,5,0,0,6,18,10,10,2,0,6,2,7,,26,17
1985,Butte County,Butte Co. Sheriff's Department,258,3,39,49,167,3221,1357,18,1846,64,2,9,6,47,151,30,6,115,18,15,54,87,0,31,8,16,3,5,25,12,5,1,5,17,0,9,39,25,82,21,771,586,939,172,278,489,418,120,33,265,6,2,10,0,0,146,437,191,235,138,8,691,454,308,,626,458
1985,Butte County,Butte State Police,3,0,0,0,3,34,7,3,24,3,0,0,0,3,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,1,0,0,0,0,7,4,2,1,2,0,1,0,0,1,2,2,0,3,0,16,5,2,,8,9
